pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
5,r-hyp,Ġmajor,5,r-hyp,Ġmajor,force,gravity,2.15,True,['Ġforce'],['Ġgravity'],1,1,54.745632,56.924477,53.10521,55.541523,55.7562,61.201088,56.776848,0.0015179563,0.013412798,0.00029432873,0.00336442,0.004170065,0.9656685,0.011571909,0.284819,19,3,Ġmajor,Ġcoordinated,Ġequivalent,Ġrandom,Ġpart,Ġcontrary,ĠMajor,Ġsubclass,Ġof,major,Ġcomparable,Ġindependent,Ġmain,Ġminor
4,no-rel,Ġrandom,4,no-rel,Ġrandom,desire,attack,0.43,True,['Ġdesire'],['Ġattack'],1,1,51.51498,56.45835,55.186115,50.300785,59.534912,53.65907,53.53328,0.00030884543,0.043313164,0.0121365385,9.1711314e-05,0.93918973,0.0026357677,0.0023242207,0.40616623,6,15,Ġrandom,Ġcoordinated,Ġsubclass,Ġmajor,Ġequivalent,Ġcontrary,Ġpart,random,ĠRandom,Ġcoordinate,Ġrandomized,Ġrandomly,Ġunrelated,Ġconcerted
2,hyp,Ġsubclass,6,syn,Ġequivalent,motorcycle,bike,5.4,False,['Ġmotorcycle'],['Ġbike'],1,1,49.177456,57.643044,59.788853,55.76227,52.508152,53.597557,58.053703,1.874789e-05,0.08902468,0.76106805,0.013573807,0.0005241497,0.0015580377,0.1342325,1.104085,2,3,Ġsubclass,Ġequivalent,Ġcoordinated,Ġpart,Ġmajor,Ġsimilar,Ġrandom,Ġcoordinate,Ġrelated,Ġother,Ġor,Ġcomparable,Ġclass,Ġcoordination
2,hyp,Ġsubclass,2,hyp,Ġsubclass,god,being,4.78,True,['Ġgod'],['Ġbeing'],1,1,50.79742,53.721603,61.643574,49.916412,53.114338,51.57867,56.155495,1.9386993e-05,0.00036096654,0.99525636,8.03329e-06,0.00019666854,4.2345084e-05,0.004116162,0.0470497,4,15,Ġsubclass,Ġequivalent,Ġcoordinated,Ġrandom,like,Ġclass,Ġmajor,Ġlike,Ġcontrary,Ġrelated,Ġpart,Ġsimilar,related,Ġcoordinate
5,r-hyp,Ġmajor,5,r-hyp,Ġmajor,communication,conversation,2.42,True,['Ġcommunication'],['Ġconversation'],1,1,49.090935,53.77115,53.681488,53.703255,52.58321,57.763233,54.569675,0.00015577853,0.016791856,0.015351809,0.01568963,0.0051189805,0.90957594,0.037315946,0.62787676,3,1,Ġmajor,Ġequivalent,Ġcoordinated,Ġpart,Ġsubclass,Ġrandom,ĠMajor,Ġmain,Ġcontrary,major,Ġrelated,Ġcomparable,Ġgeneral,Ġsignificant
6,syn,Ġequivalent,6,syn,Ġequivalent,phase,stage,4.33,True,['Ġphase'],['Ġstage'],1,1,52.296364,55.073742,54.19884,52.984272,51.007072,55.19757,56.601273,0.00845288,0.13589539,0.056655247,0.016817424,0.0023284806,0.15380941,0.6260411,1.6420467,6,10,Ġequivalent,Ġmajor,Ġcoordinated,Ġsubclass,Ġpart,Ġcontrary,Ġrandom,Ġcoordinate,Ġsimilar,Ġcomparable,Ġrelated,Ġminor,Ġor,Ġcorresponding
2,hyp,Ġsubclass,2,hyp,Ġsubclass,cod,fish,5.54,True,['Ġcod'],['Ġfish'],1,1,46.654305,51.98953,62.569218,53.7548,50.051823,48.531338,52.296516,1.225035e-07,2.5421834e-05,0.9997869,0.00014854361,3.6616082e-06,8.0044896e-07,3.4556517e-05,0.003181718,7,6,Ġsubclass,Ġpart,Ġequivalent,Ġcoordinated,Ġclass,Ġrelated,Ġrandom,Ġcoordinate,Ġtype,Ġmajor,part,Ġfamily,Ġgroup,Ġother
5,r-hyp,Ġmajor,5,r-hyp,Ġmajor,maker,producer,3.15,True,['Ġmaker'],['Ġproducer'],1,1,51.73556,55.253834,56.151062,50.916702,54.934673,57.47425,55.185486,0.002063745,0.069602095,0.17071967,0.0009099762,0.05058394,0.6411168,0.065003864,1.6158682,3,3,Ġmajor,Ġsubclass,Ġcoordinated,Ġequivalent,Ġrandom,Ġcontrary,Ġpart,Ġindependent,Ġsignificant,Ġminor,Ġmain,major,Ġcomparable,Ġkey
0,ant,Ġcontrary,0,ant,Ġcontrary,daughter,son,1.18,True,['Ġdaughter'],['Ġson'],1,1,58.35981,57.486485,51.55885,53.748665,50.15709,52.60681,54.98079,0.68206227,0.2848024,0.00075893465,0.006779992,0.00018682187,0.0021643555,0.023245238,1.096902,1,2,Ġcontrary,Ġcoordinated,Ġequivalent,Ġpart,Ġmajor,Ġsubclass,Ġrandom,Ġopposite,Ġor,Ġcoordinate,Ġcoordination,Ġsuperior,Ġcounter,Ġsimilar
1,cohyp,Ġcoordinated,6,syn,Ġequivalent,wardrobe,closet,3.73,False,['Ġwardrobe'],['Ġcloset'],1,1,51.929836,57.682224,53.957977,55.852604,51.42166,54.524456,56.970966,0.0018425717,0.58030295,0.014003444,0.093123816,0.0011084775,0.02467479,0.2849439,1.5362729,3,5,Ġcoordinated,Ġequivalent,Ġpart,Ġmajor,Ġsubclass,Ġcontrary,Ġor,Ġrandom,Ġcoordinate,Ġsimilar,Ġparts,Ġcomparable,Ġcomponent,Ġcoordination
2,hyp,Ġsubclass,2,hyp,Ġsubclass,emotion,feeling,4.67,True,['Ġemotion'],['Ġfeeling'],1,1,53.234814,57.08789,59.55075,53.577724,52.38057,55.282795,58.040974,0.0013636868,0.0642813,0.7545555,0.0019214932,0.0005803915,0.01057162,0.16672601,1.0979372,1,19,Ġsubclass,Ġequivalent,Ġcoordinated,Ġmajor,Ġpart,Ġcontrary,Ġor,Ġrandom,Ġrelated,Ġsimilar,Ġcoordinate,Ġindependent,Ġspecific,Ġcomparable
1,cohyp,Ġcoordinated,1,cohyp,Ġcoordinated,snap,pop,2.8,True,['Ġsnap'],['Ġpop'],1,1,50.04518,55.668644,53.113632,50.01881,52.092705,51.768337,54.038567,0.0027179972,0.75246763,0.058460202,0.0026472576,0.021060912,0.015226712,0.14741926,1.210437,26,19,Ġcoordinated,Ġequivalent,Ġsubclass,Ġrandom,Ġmajor,Ġcontrary,Ġpart,Ġcoordinate,Ġor,Ġsynchronized,Ġa,Ġand,Ġsimultaneous,Ġsimilar
6,syn,Ġequivalent,5,r-hyp,Ġmajor,idea,suggestion,2.38,False,['Ġidea'],['Ġsuggestion'],1,1,53.055374,54.28774,55.62256,53.874462,52.376987,55.718304,56.228573,0.017106801,0.05866486,0.22288604,0.038805585,0.00868059,0.24528131,0.40857476,2.0893698,5,6,Ġequivalent,Ġmajor,Ġsubclass,Ġcoordinated,Ġpart,Ġcontrary,Ġrandom,Ġor,Ġrelated,Ġsystem,Ġcoordinate,Ġtype,Ġsimilar,Ġchain
2,hyp,Ġsubclass,2,hyp,Ġsubclass,suggestion,idea,5.1,True,['Ġsuggestion'],['Ġidea'],1,1,53.596115,56.372276,60.159878,54.906628,52.911663,53.91096,56.988235,0.0013135375,0.021091817,0.93121165,0.004870694,0.00066250435,0.00179961,0.039050058,0.4692583,6,5,Ġsubclass,Ġequivalent,Ġcoordinated,Ġpart,Ġmajor,Ġcontrary,Ġrandom,Ġrelated,Ġor,Ġsimilar,Ġtype,Ġcoordinate,Ġclass,Ġgroup
2,hyp,Ġsubclass,2,hyp,Ġsubclass,volleyball,activity,4.86,True,['Ġvolleyball'],['Ġactivity'],1,1,50.737602,55.314648,61.117344,52.094166,56.112904,52.444088,54.402824,3.0709387e-05,0.0029857727,0.988862,0.000119239245,0.00663338,0.00016919537,0.0011996565,0.10479688,2,6,Ġsubclass,Ġrandom,Ġcoordinated,Ġequivalent,Ġmajor,Ġpart,Ġcontrary,Ġclass,Ġrelated,Ġunrelated,Ġgroup,Ġcoordinate,Ġother,Ġsimilar
1,cohyp,Ġcoordinated,1,cohyp,Ġcoordinated,cigarette,cigar,2.92,True,['Ġcigarette'],['Ġcigar'],1,1,52.955837,55.631638,53.60471,54.038425,49.534428,52.774666,55.60269,0.02827558,0.41067365,0.05410199,0.0834783,0.0009236602,0.0235901,0.39895672,1.8651911,1,1,Ġcoordinated,Ġequivalent,Ġpart,Ġsubclass,Ġcontrary,Ġmajor,Ġor,Ġrandom,Ġsimilar,Ġcomparable,",",Ġmodified,Ġand,Ġrelated
4,no-rel,Ġrandom,4,no-rel,Ġrandom,bread,football,0.08,True,['Ġbread'],['Ġfootball'],1,1,47.55302,53.204414,50.385494,50.22517,57.67529,53.278694,50.112885,3.9172828e-05,0.011152035,0.00066544575,0.0005668717,0.97505784,0.012011948,0.00050666364,0.20375441,3,2,Ġrandom,Ġmajor,Ġcoordinated,Ġsubclass,Ġpart,Ġequivalent,random,major,Ġcontrary,Ġrandomly,Ġorganized,Ġrandomized,Ġmassive,Ġcompetitive
2,hyp,Ġsubclass,2,hyp,Ġsubclass,kidnap,take,4.69,True,['Ġkidnap'],['Ġtake'],1,1,49.78496,53.225487,56.28881,49.28767,53.974392,51.060123,51.907547,0.001284628,0.04008468,0.8577547,0.0007812794,0.08476642,0.0045980434,0.010730117,0.804003,1,44,Ġsubclass,Ġrandom,Ġcoordinated,Ġequivalent,Ġmajor,Ġcontrary,Ġpart,Ġcoordinate,Ġunrelated,Ġsubset,Ġvariant,Ġsimultaneous,Ġgroup,Ġdifferent
4,no-rel,Ġrandom,4,no-rel,Ġrandom,mouth,universe,0.29,True,['Ġmouth'],['Ġuniverse'],1,1,50.988064,55.19045,52.8955,52.519238,61.49323,53.72091,52.984364,2.7318294e-05,0.0018261069,0.00018401053,0.00012630888,0.99721503,0.00042006184,0.00020111087,0.032138884,11,3,Ġrandom,Ġcoordinated,Ġmajor,Ġequivalent,Ġsubclass,Ġpart,random,Ġrandomized,Ġcontrary,Ġrandomly,Ġarbitrary,Ġparallel,Ġalternate,Ġunrelated
2,hyp,Ġsubclass,2,hyp,Ġsubclass,trout,fish,6.0,True,['Ġtrout'],['Ġfish'],1,1,46.386448,51.53571,63.408573,54.127907,49.450584,49.24693,52.510136,4.0488594e-08,6.9763546e-06,0.9998797,9.319778e-05,8.671022e-07,7.07333e-07,1.8484874e-05,0.0018645978,2,6,Ġsubclass,Ġpart,Ġequivalent,Ġclass,Ġcoordinated,Ġrelated,Ġrandom,Ġtype,Ġmajor,Ġcoordinate,Ġgroup,Ġfamily,ĠClass,Ġmodel
2,hyp,Ġsubclass,2,hyp,Ġsubclass,pan,utensil,2.69,True,['Ġpan'],"['Ġut', 'ens', 'il']",1,3,50.16425,54.109585,59.563057,51.35748,53.429604,52.19337,54.47252,8.1712205e-05,0.004224004,0.9865911,0.00026946355,0.0021399923,0.0006216174,0.00607218,0.12714708,7,1,Ġsubclass,Ġequivalent,Ġcoordinated,Ġrandom,Ġmajor,Ġpart,Ġcontrary,Ġrelated,Ġsimilar,Ġother,Ġcoordinate,Ġclass,Ġspecific,Ġcomparable
2,hyp,Ġsubclass,2,hyp,Ġsubclass,conversation,communication,6.0,True,['Ġconversation'],['Ġcommunication'],1,1,51.363422,55.24361,61.288895,54.41213,53.789684,53.325935,57.119217,4.79627e-05,0.0023229928,0.98057646,0.0010114394,0.0005427699,0.00034135964,0.015157007,0.16025117,1,3,Ġsubclass,Ġequivalent,Ġcoordinated,Ġpart,Ġrandom,Ġmajor,Ġrelated,Ġcontrary,Ġother,Ġsimilar,Ġgroup,Ġclass,Ġcoordinate,Ġtype
4,no-rel,Ġrandom,4,no-rel,Ġrandom,swallow,waste,0.9,True,['Ġswallow'],['Ġwaste'],1,1,51.77982,53.91022,54.718975,49.34439,57.14197,54.3037,54.37449,0.0037389048,0.031475022,0.070664845,0.00032737927,0.7970718,0.04664999,0.050072,1.1445342,11,16,Ġrandom,Ġsubclass,Ġequivalent,Ġmajor,Ġcoordinated,Ġcontrary,Ġunrelated,Ġpart,Ġarbitrary,Ġsystematic,Ġrelated,Ġcomparable,Ġsimilar,Ġrandomized
0,ant,Ġcontrary,0,ant,Ġcontrary,advance,retreat,1.0,True,['Ġadvance'],['Ġretreat'],1,1,59.514072,56.351376,54.70723,52.429897,52.83617,55.853733,55.656124,0.9095732,0.03848539,0.00743451,0.00076246425,0.0011446206,0.023397662,0.019202244,0.61315084,20,11,Ġcontrary,Ġcoordinated,Ġmajor,Ġequivalent,Ġsubclass,Ġrandom,Ġpart,Ġopposite,Ġor,Ġmain,Ġcoordinate,Ġopposed,Ġcounter,Ġsignificant
4,no-rel,Ġrandom,4,no-rel,Ġrandom,path,leopard,0.2,True,['Ġpath'],"['Ġle', 'opard']",1,2,49.250156,54.1872,50.150887,49.9114,56.851414,54.174778,51.411327,0.00043634122,0.0608074,0.00107401,0.00084528,0.87299216,0.060056802,0.003788008,0.7149555,4,2,Ġrandom,Ġcoordinated,Ġmajor,Ġequivalent,Ġsubclass,Ġpart,Ġcontrary,Ġunrelated,Ġgiant,major,Ġrandomized,Ġrandomly,Ġlarge,Ġgeneralized
5,r-hyp,Ġmajor,5,r-hyp,Ġmajor,crook,burglar,2.5,True,"['Ġcro', 'ok']","['Ġburg', 'lar']",2,2,52.631443,55.780186,55.057518,52.657295,52.911804,57.97068,55.879345,0.003675647,0.08566736,0.041587688,0.0037719097,0.004865115,0.76583475,0.0945975,1.2085576,4,1,Ġmajor,Ġequivalent,Ġcoordinated,Ġsubclass,Ġrandom,Ġpart,Ġcontrary,major,Ġcomparable,Ġsimilar,Ġor,Ġminor,Ġsignificant,Ġindependent
2,hyp,Ġsubclass,2,hyp,Ġsubclass,slay,kill,5.55,True,['Ġslay'],['Ġkill'],1,1,50.82092,54.39109,60.42484,50.64422,52.04235,53.290607,58.068863,6.142296e-05,0.002181908,0.9104585,5.147432e-05,0.00020834917,0.0007259434,0.08631231,0.4592684,1,17,Ġsubclass,Ġequivalent,Ġcoordinated,Ġmajor,Ġrandom,Ġcontrary,Ġpart,Ġcoordinate,Ġsimilar,Ġcomparable,Ġrelated,Ġclass,Ġtype,Ġother
4,no-rel,Ġrandom,2,hyp,Ġsubclass,catch,seize,3.0,False,['Ġcatch'],['Ġseize'],1,1,50.412823,54.604584,54.790222,48.867416,55.95673,55.478447,54.25713,0.0016451055,0.108805895,0.13100086,0.00035077796,0.42061237,0.26071525,0.076869674,2.0672796,39,8,Ġrandom,Ġmajor,Ġsubclass,Ġcoordinated,Ġequivalent,Ġcontrary,Ġpart,Ġsignificant,major,Ġcoordinate,Ġunrelated,Ġcomparable,Ġarbitrary,Ġsimultaneous
0,ant,Ġcontrary,0,ant,Ġcontrary,decline,accept,0.7,True,['Ġdecline'],['Ġaccept'],1,1,53.984818,51.968166,53.63475,47.390156,50.86334,51.605167,52.609615,0.44871777,0.059724536,0.31618482,0.00061368867,0.019784821,0.041543625,0.11343069,1.9521757,11,11,Ġcontrary,Ġsubclass,Ġequivalent,Ġcoordinated,Ġmajor,Ġrandom,Ġpart,Ġalternative,Ġcoordinate,Ġunrelated,Ġor,Ġalternate,Ġother,Ġcomparable
6,syn,Ġequivalent,2,hyp,Ġsubclass,skillet,pan,5.7,False,['Ġskillet'],['Ġpan'],1,1,51.594402,56.430077,59.18794,55.811012,50.409454,52.536167,59.939896,0.00015639472,0.019693764,0.31049386,0.010604068,4.7819573e-05,0.00040107477,0.6586031,1.1090677,1,7,Ġequivalent,Ġsubclass,Ġcoordinated,Ġpart,Ġsimilar,Ġor,Ġmajor,Ġcomparable,Ġcontrary,Ġclass,Ġcoordinate,Ġequivalents,Ġcorresponding,Ġrandom
2,hyp,Ġsubclass,2,hyp,Ġsubclass,nightgown,underwear,2.79,True,"['Ġnight', 'g', 'own']",['Ġunderwear'],3,1,52.339733,55.902206,56.295235,54.42976,50.584457,52.359154,55.31623,0.008520155,0.30033782,0.44493854,0.068886586,0.0014727905,0.00868724,0.16715679,1.8701941,1,1,Ġsubclass,Ġcoordinated,Ġequivalent,Ġpart,Ġmajor,Ġcontrary,Ġrandom,Ġor,Ġcoordinate,Ġsimilar,Ġcoordinating,Ġrelated,Ġsuperior,Ġcomparable
1,cohyp,Ġcoordinated,1,cohyp,Ġcoordinated,leopard,tiger,0.69,True,"['Ġle', 'opard']",['Ġtiger'],2,1,50.7308,58.023205,52.242855,51.149765,49.622345,51.584488,52.874413,0.0006723306,0.98771983,0.0030497187,0.0010222022,0.00022191503,0.0015788272,0.0057351096,0.12042509,2,2,Ġcoordinated,Ġequivalent,Ġsubclass,Ġmajor,Ġpart,Ġcontrary,Ġrandom,Ġsynchronized,Ġcoordinate,Ġcomparable,Ġsimilar,Ġor,Ġcoordination,Ġsystematic
2,hyp,Ġsubclass,2,hyp,Ġsubclass,hip,joint,4.69,True,['Ġhip'],['Ġjoint'],1,1,46.940933,51.874607,59.52712,51.03278,51.802902,48.11324,52.94702,3.4103145e-06,0.00047365463,0.9974826,0.00020410835,0.00044088037,1.1013376e-05,0.001384221,0.029663635,6,13,Ġsubclass,Ġequivalent,Ġcoordinated,Ġrandom,Ġpart,Ġrelated,Ġmajor,Ġcoordinate,Ġcontrary,Ġcoordination,Ġclass,Ġunrelated,Ġsimilar,Ġother
4,no-rel,Ġrandom,4,no-rel,Ġrandom,fish,valve,0.0,True,['Ġfish'],['Ġvalve'],1,1,50.128227,54.340233,51.676487,50.631744,59.490635,53.631317,53.85103,8.480445e-05,0.005723602,0.00039885895,0.00014031155,0.9873262,0.002817029,0.003509221,0.120730296,6,5,Ġrandom,Ġcoordinated,Ġequivalent,Ġmajor,Ġsubclass,Ġpart,Ġrandomized,random,Ġcontrary,Ġarbitrary,Ġrandomly,Ġparallel,Ġsynchronized,Ġdifferent
4,no-rel,Ġrandom,4,no-rel,Ġrandom,meal,pen,0.1,True,['Ġmeal'],['Ġpen'],1,1,47.130497,54.438587,49.905922,49.00737,57.18428,51.693974,51.933308,4.003646e-05,0.059747383,0.0006424028,0.00026155997,0.93058985,0.0038401512,0.004878539,0.41824034,3,6,Ġrandom,Ġcoordinated,Ġequivalent,Ġmajor,Ġsubclass,Ġpart,Ġrandomly,random,Ġarbitrary,Ġcoordinate,Ġrandomized,Ġcoordinating,Ġsynchronized,Ġcontrary
2,hyp,Ġsubclass,2,hyp,Ġsubclass,girl,child,5.33,True,['Ġgirl'],['Ġchild'],1,1,51.098896,52.242115,58.137436,52.04065,53.56395,51.689945,53.771,0.0008514523,0.0026708778,0.97041917,0.0021835272,0.010016581,0.0015376225,0.012320839,0.25189614,5,4,Ġsubclass,Ġequivalent,Ġrandom,Ġcoordinated,Ġpart,Ġmajor,Ġcontrary,Ġunrelated,Ġrelated,Ġsimilar,Ġminor,Ġother,Ġclass,Ġcoordinate
6,syn,Ġequivalent,2,hyp,Ġsubclass,mission,duty,4.44,False,['Ġmission'],['Ġduty'],1,1,54.994514,56.48262,58.47638,55.783737,53.714096,56.585384,58.5335,0.012536256,0.055519298,0.40768296,0.027600879,0.0034840885,0.061528154,0.43164828,1.780591,5,3,Ġequivalent,Ġsubclass,Ġmajor,Ġcoordinated,Ġpart,Ġcontrary,Ġrandom,Ġcoordinate,Ġor,Ġspecific,Ġmain,Ġsimilar,Ġof,Ġcomparable
