pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12
5,random,random,5,random,random,glove,pest,True,['glove'],['pest'],1,1,3.7424658e-07,4.506013e-07,1.0718848e-05,2.7019389e-05,1.4757912e-07,0.99996126,0.00066364504,3,4,random,minor,event,coordinated,attribute,randomly,product,host,part,result,victim,virus
5,random,random,5,random,random,radish,vinyl,True,"['ra', '##dis', '##h']",['vinyl'],3,1,0.00069193024,0.00017324787,0.013904951,0.004925919,0.16030918,0.81999475,0.7911199,5,2,random,part,event,minor,attribute,coordinated,on,content,split,component,the,material
2,event,event,1,coord,coordinated,cockroach,fly,False,"['cock', '##ro', '##ach']",['fly'],3,1,0.00020729812,0.012276433,0.98649096,0.00077755813,0.00012094948,0.00012685168,0.111071244,1,20,event,coordinated,minor,attribute,random,part,ability,and,organ,speed,process,can
2,event,event,2,event,event,sofa,couch,True,['sofa'],['couch'],1,1,0.0014415628,0.24991323,0.6761655,0.06741639,0.004945406,0.00011791872,1.1970075,1,4,event,coordinated,minor,part,attribute,random,and,intermediate,coordination,separate,relative,-
2,event,event,2,event,event,rat,live,True,['rat'],['live'],1,1,5.5084118e-05,9.999431e-06,0.9996215,5.957922e-05,1.0688202e-05,0.00024310163,0.0054227603,11,19,event,random,minor,attribute,part,coordinated,process,act,season,purpose,time,and
2,event,event,2,event,event,chisel,produce,True,"['chi', '##sel']",['produce'],2,1,9.181398e-05,3.9649435e-06,0.9991867,0.0003530606,2.9224608e-05,0.00033530072,0.0108344825,4,8,event,minor,random,attribute,part,process,coordinated,and,",",act,.,material
2,event,event,5,random,random,piano,afford,False,['piano'],['afford'],1,1,0.0005388551,1.1663304e-05,0.9322066,2.9687013e-05,2.926377e-05,0.067184,0.36307284,4,4,event,random,attribute,minor,part,cost,coordinated,program,property,key,game,probability
1,coord,coordinated,1,coord,coordinated,tiger,elephant,True,['tiger'],['elephant'],1,1,3.1700333e-06,0.99996614,1.7621116e-05,1.2440986e-05,2.486213e-07,4.2044547e-07,0.00060210854,2,2,coordinated,event,minor,coordination,attribute,similar,twin,coordinate,identical,equivalent,relative,unrelated
5,random,random,5,random,random,pigeon,blend,True,['pigeon'],['blend'],1,1,3.5403855e-06,6.383886e-08,0.00019734928,1.9028795e-07,6.344983e-07,0.9997981,0.0028027664,1,6,random,event,attribute,part,randomly,average,minor,pick,computer,probability,outcome,entropy
5,random,random,5,random,random,coconut,pls,True,['coconut'],"['pl', '##s']",1,2,1.5186538e-06,7.409322e-07,4.9551938e-05,2.3354203e-06,7.110267e-06,0.9999387,0.0010066681,3,0,random,event,part,minor,attribute,coordinated,randomly,pick,entropy,average,computer,constant
2,event,event,2,event,event,robe,hang,True,['robe'],['hang'],1,1,4.1812127e-05,2.280408e-05,0.9996166,3.8787868e-05,1.9422429e-05,0.00026054197,0.0054872846,4,18,event,random,attribute,minor,coordinated,part,process,order,state,and,step,","
4,mero,part,4,mero,part,glove,leather,True,['glove'],['leather'],1,1,1.52531575e-05,5.831757e-07,4.5655925e-05,7.1894187e-06,0.99992275,8.564051e-06,0.0012928791,3,2,part,event,attribute,random,minor,portion,section,parts,component,volume,piece,bit
4,mero,part,4,mero,part,cathedral,window,True,['cathedral'],['window'],1,1,4.5489574e-07,1.5255252e-06,8.24517e-05,1.7139923e-06,0.999866,4.7818558e-05,0.0020700286,3,8,part,event,random,section,parts,portion,minor,coordinated,one,point,end,side
2,event,event,2,event,event,turtle,lay,True,['turtle'],['lay'],1,1,7.596721e-06,2.468413e-05,0.9998629,1.8446315e-05,1.5722753e-05,7.060104e-05,0.0022191645,4,16,event,random,coordinated,minor,part,attribute,process,order,and,person,act,site
5,random,random,5,random,random,saw,countryside,True,['saw'],['countryside'],1,1,0.00019060906,3.89481e-07,0.00021117464,1.5798264e-06,1.8871739e-05,0.99957734,0.0058782003,28,1,random,event,attribute,part,average,randomly,minor,map,graph,measure,link,data
2,event,event,5,random,random,cello,organise,False,['cello'],['organise'],1,1,5.3678974e-05,4.235428e-05,0.5719844,3.938084e-05,0.00022578191,0.42765442,0.98976296,1,6,event,random,part,attribute,coordinated,minor,computer,program,function,process,field,key
5,random,random,5,random,random,woodpecker,grove,True,"['wood', '##pe', '##cker']",['grove'],3,1,9.992886e-06,2.3436266e-07,0.0005897468,5.4604357e-07,5.3854237e-06,0.99939406,0.0074772704,1,2,random,event,attribute,part,randomly,minor,tree,pick,entropy,coordinated,key,frequent
5,random,random,5,random,random,trumpet,in-house,True,['trumpet'],"['in', '-', 'house']",1,3,1.9759775e-06,6.453322e-06,0.00019739794,1.7987278e-06,1.3801337e-06,0.99979097,0.0029406555,4,0,random,event,coordinated,attribute,minor,part,randomly,computer,constant,distributed,average,probability
5,random,random,5,random,random,grenade,glucose,True,['grenade'],['glucose'],1,1,2.564451e-06,2.2467957e-06,1.3036565e-05,4.6720853e-08,4.757149e-07,0.99998164,0.0003389473,1,1,random,event,attribute,coordinated,randomly,part,constant,average,variable,parameter,minor,probability
5,random,random,5,random,random,saw,assure,True,['saw'],['assure'],1,1,7.2938687e-06,5.047501e-07,0.00013343584,9.585332e-08,2.968374e-07,0.9998584,0.002065528,28,6,random,event,attribute,coordinated,probability,part,randomly,fault,minor,computer,entropy,outcome
1,coord,coordinated,4,mero,part,scarf,cashmere,False,['scarf'],"['cash', '##mere']",1,2,0.0027015205,0.9854047,0.000616529,0.010826383,0.0001415602,0.00030931892,0.12663099,5,3,coordinated,minor,attribute,event,random,part,relative,coordination,coordinate,twin,unrelated,equivalent
5,random,random,5,random,random,rifle,question,True,['rifle'],['question'],1,1,6.1683994e-07,4.5971532e-08,3.8504804e-06,9.964352e-08,1.0333124e-07,0.99999535,9.452469e-05,3,11,random,event,attribute,randomly,answer,part,minor,subject,pick,coordinated,blank,probability
5,random,random,5,random,random,van,reservoir,True,['van'],['reservoir'],1,1,2.6874686e-06,8.354337e-06,0.00022440364,5.1408897e-06,0.00089534215,0.99886405,0.01370451,5,4,random,part,event,coordinated,minor,attribute,entropy,computer,point,volume,the,channel
4,mero,part,4,mero,part,bull,tail,True,['bull'],['tail'],1,1,2.155143e-06,6.864727e-07,8.2830724e-05,2.113495e-06,0.99980325,0.00010895278,0.0029356924,15,11,part,random,event,portion,section,end,parts,attribute,minor,length,point,side
4,mero,part,4,mero,part,saw,steel,True,['saw'],['steel'],1,1,2.2330065e-05,2.1017975e-06,0.00012889599,8.859977e-06,0.9998074,3.0483996e-05,0.0029341832,28,5,part,event,random,attribute,piece,section,component,minor,portion,parts,coordinated,bit
0,attri,attribute,0,attri,attribute,cannon,deadly,True,['cannon'],['deadly'],1,1,0.9996408,2.5554971e-08,1.050363e-05,2.2025783e-05,4.679885e-07,0.00032618266,0.0048208996,8,8,attribute,random,minor,event,attributes,variable,label,category,characteristic,property,definition,measure
4,mero,part,2,event,event,frigate,anchor,False,['frigate'],['anchor'],1,1,0.000107873435,8.041335e-05,0.3949011,0.00012564588,0.6019203,0.0028646658,0.9985022,2,5,part,event,random,point,minor,attribute,coordinated,section,end,and,person,side
2,event,event,2,event,event,castle,host,True,['castle'],['host'],1,1,6.430262e-05,3.1503045e-05,0.9737718,0.009392828,0.0065752855,0.010164256,0.216912,5,11,event,random,minor,part,attribute,organ,coordinated,function,person,and,computer,","
0,attri,attribute,0,attri,attribute,scooter,dusty,True,"['sc', '##oot', '##er']",['dusty'],3,1,0.99858713,8.62422e-08,5.8813734e-05,5.4733528e-06,1.0205544e-06,0.0013474498,0.015830118,5,2,attribute,random,event,minor,characteristic,attributes,feature,property,variable,part,element,category
3,hyper,minor,3,hyper,minor,scarf,garment,True,['scarf'],['garment'],1,1,4.8447913e-07,4.6325067e-06,9.38148e-05,0.9998933,3.9365716e-07,7.3695687e-06,0.0016354185,5,2,minor,event,random,major,common,important,other,coordinated,small,social,lesser,formal
2,event,event,2,event,event,axe,sharpen,True,['axe'],"['sharpe', '##n']",1,2,4.006293e-05,4.453375e-05,0.9997178,1.7202954e-05,4.7899368e-05,0.00013252445,0.004302766,3,8,event,random,part,coordinated,attribute,minor,process,act,and,step,state,function
2,event,event,2,event,event,piano,produce,True,['piano'],['produce'],1,1,4.37862e-05,7.4647273e-06,0.99885535,0.00086426694,7.72788e-05,0.00015182591,0.01418809,4,8,event,minor,random,part,attribute,process,coordinated,and,",",.,act,-
4,mero,part,4,mero,part,glove,fabric,True,['glove'],['fabric'],1,1,1.1680435e-06,2.0119248e-07,0.0002692221,4.656807e-05,0.99964595,3.6771267e-05,0.004942512,3,2,part,event,minor,random,section,portion,parts,component,piece,volume,attribute,short
5,random,random,5,random,random,broccoli,Mainland,True,"['bro', '##cco', '##li']",['mainland'],3,1,1.6921554e-06,1.1230621e-07,1.07819615e-05,1.4487478e-07,2.5645662e-07,0.999987,0.00024051574,2,1,random,event,attribute,randomly,part,minor,coordinated,probability,average,local,flag,of
1,coord,coordinated,1,coord,coordinated,trumpet,bass,True,['trumpet'],['bass'],1,1,1.3276114e-05,0.99983466,0.00013264403,4.779027e-06,9.218759e-06,5.460132e-06,0.0024963792,4,9,coordinated,event,coordination,attribute,part,coordinate,random,minor,partner,coordinating,paired,equivalent
5,random,random,5,random,random,sweater,Spanish,True,['sweater'],['spanish'],1,1,6.8287954e-06,2.0137986e-06,5.457402e-06,4.7991097e-07,2.3424529e-07,0.999985,0.0002876025,2,3,random,attribute,event,language,coordinated,minor,native,alphabet,neutral,country,part,code
1,coord,coordinated,1,coord,coordinated,willow,cedar,True,['willow'],['cedar'],1,1,2.2191657e-06,0.9999589,2.2310522e-05,1.619374e-05,1.1696104e-07,2.445002e-07,0.0007114405,2,3,coordinated,event,minor,coordination,relative,twin,similar,coordinate,sister,attribute,unrelated,related
5,random,random,5,random,random,pub,battle,True,['pub'],['battle'],1,1,3.8051394e-06,1.02331005e-05,0.00926553,7.4494546e-06,2.827029e-05,0.99068475,0.076747045,1,4,random,event,part,coordinated,outcome,minor,site,attribute,participant,game,result,winner
2,event,event,2,event,event,dress,sew,True,['dress'],"['se', '##w']",1,2,0.000113039896,0.002003357,0.99698025,0.00035202422,0.00048825576,6.312003e-05,0.034078773,21,2,event,coordinated,part,minor,attribute,random,process,and,step,act,",",form
1,coord,coordinated,1,coord,coordinated,coyote,horse,True,['coyote'],['horse'],1,1,2.3481131e-07,0.9999865,1.0006117e-05,2.595425e-06,1.9907377e-07,4.206574e-07,0.00025229505,3,6,coordinated,event,coordination,minor,coordinate,similar,random,twin,attribute,identical,part,partner
4,mero,part,4,mero,part,trout,fishbone,True,['trout'],"['fish', '##bone']",1,2,3.844565e-07,1.5711021e-07,2.191167e-05,6.515917e-06,0.9999434,2.7674521e-05,0.0009638567,2,1,part,random,event,minor,section,portion,parts,end,side,volume,half,attribute
5,random,random,5,random,random,cathedral,encapsulate,True,['cathedral'],"['en', '##cap', '##sul', '##ate']",1,4,0.0004116995,1.16282035e-05,0.028949251,0.0007932432,4.7305024e-05,0.96978676,0.20453402,3,2,random,event,minor,attribute,part,coordinated,model,state,computer,link,field,type
5,random,random,5,random,random,lemon,gramme,True,['lemon'],"['gram', '##me']",1,2,7.1899594e-05,1.1308336e-05,0.00012589563,0.00011391818,0.0018629755,0.99781406,0.024342913,5,1,random,part,event,minor,attribute,coordinated,name,pick,number,randomly,individual,person
0,attri,attribute,0,attri,attribute,apple,juicy,True,['apple'],['juicy'],1,1,0.9998324,6.356414e-08,5.129403e-05,2.7375476e-05,5.2371074e-06,8.3573694e-05,0.0026131403,2,4,attribute,random,event,minor,part,attributes,property,characteristic,category,element,variable,feature
1,coord,coordinated,1,coord,coordinated,musket,spear,True,"['mu', '##ske', '##t']",['spear'],3,1,2.6315598e-07,0.9998784,0.000109640285,3.2341322e-06,8.374209e-06,1.6612147e-07,0.0018276082,1,4,coordinated,event,coordination,part,coordinate,minor,twin,equivalent,similar,partner,successor,identical
1,coord,coordinated,1,coord,coordinated,cannon,Kalashnikov,True,['cannon'],"['kala', '##sh', '##nikov']",1,3,5.4156228e-08,0.99999523,2.221764e-06,2.3397722e-06,9.847756e-08,3.2651897e-08,9.6694996e-05,8,1,coordinated,coordination,coordinate,minor,event,similar,twin,successor,identical,partner,equivalent,unrelated
2,event,event,2,event,event,bowl,eat,True,['bowl'],['eat'],1,1,8.653585e-05,9.105095e-05,0.99911076,2.2863884e-05,4.531299e-05,0.0006434593,0.011500629,12,6,event,random,coordinated,attribute,part,minor,cue,and,process,order,purpose,signal
2,event,event,2,event,event,oven,break,True,['oven'],['break'],1,1,3.7531812e-05,1.2840152e-05,0.9979348,9.360154e-06,6.942326e-05,0.0019360336,0.022301005,1,75,event,random,part,attribute,coordinated,minor,process,state,probability,point,time,act
3,hyper,minor,3,hyper,minor,beet,food,True,"['bee', '##t']",['food'],2,1,4.67669e-05,1.8248636e-06,0.00059448375,0.99923563,1.8466194e-06,0.000119481796,0.009772484,2,3,minor,event,random,attribute,important,common,other,small,major,the,natural,short
0,attri,attribute,0,attri,attribute,wardrobe,rectangular,True,['wardrobe'],['rectangular'],1,1,0.99905354,1.3816808e-07,1.435172e-05,4.3459313e-06,2.6188868e-06,0.0009250733,0.011047848,3,2,attribute,random,characteristic,event,attributes,minor,property,feature,part,character,variable,measure
0,attri,attribute,0,attri,attribute,trumpet,loud,True,['trumpet'],['loud'],1,1,0.99947745,1.689772e-07,0.00013197493,2.0934605e-05,6.8515274e-06,0.00036261053,0.007045634,4,4,attribute,random,event,minor,property,part,attributes,characteristic,variable,element,category,feature
1,coord,coordinated,1,coord,coordinated,shovel,hatchet,True,['shovel'],"['hatch', '##et']",1,2,6.888303e-08,0.999964,1.5023659e-05,1.9472418e-05,1.3885679e-06,4.4862215e-08,0.0006271141,5,2,coordinated,minor,event,coordination,coordinate,similar,twin,part,identical,coordinating,equivalent,different
4,mero,part,4,mero,part,blouse,fabric,True,['blouse'],['fabric'],1,1,6.368958e-07,1.5070363e-07,0.00038322946,3.360731e-05,0.9995528,2.9715422e-05,0.005957687,1,2,part,event,minor,random,section,portion,parts,component,piece,volume,surface,and
1,coord,coordinated,1,coord,coordinated,revolver,spear,True,['revolver'],['spear'],1,1,3.221435e-07,0.99985135,0.00013904892,6.699039e-06,2.3548785e-06,2.2156566e-07,0.0021668843,2,4,coordinated,event,coordination,minor,coordinate,similar,equivalent,twin,part,identical,like,unrelated
5,random,random,5,random,random,washer,dispatch,True,"['wash', '##er']",['dispatch'],2,1,3.6770383e-05,1.5687581e-06,0.00056575803,3.5722735e-06,1.5366977e-05,0.99937695,0.007883988,3,9,random,event,attribute,part,minor,coordinated,fault,computer,database,probability,subject,field
5,random,random,5,random,random,cucumber,novitiate,True,"['cu', '##cum', '##ber']","['novi', '##tia', '##te']",3,3,4.9340593e-07,7.815316e-08,7.9531696e-05,1.247537e-06,7.081268e-07,0.999918,0.0012525069,2,2,random,event,minor,randomly,pick,part,attribute,product,coordinated,student,subject,picking
5,random,random,2,event,event,bag,recycle,False,['bag'],"['rec', '##y', '##cle']",1,3,3.0015784e-05,2.0390371e-05,0.46846026,1.1274075e-05,4.316341e-05,0.5314348,0.99876326,14,2,random,event,part,attribute,coordinated,minor,process,computer,probability,function,data,rate
5,random,random,5,random,random,lion,airman,True,['lion'],"['air', '##man']",1,2,2.9189097e-05,3.99399e-05,0.00010606416,0.0003876755,6.066758e-05,0.9993765,0.008566269,4,1,random,minor,event,part,coordinated,attribute,priority,computer,individual,chosen,id,randomly
5,random,random,5,random,random,vulture,resort,True,['vulture'],['resort'],1,1,2.266256e-06,1.4365284e-07,3.105489e-05,1.61215e-07,9.907797e-08,0.9999664,0.0005654151,2,6,random,event,attribute,randomly,minor,coordinated,part,entropy,game,variable,pick,local
0,attri,attribute,0,attri,attribute,shovel,old,True,['shovel'],['old'],1,1,0.99965596,9.641714e-08,1.3808841e-05,9.1633765e-06,1.6620027e-06,0.0003193019,0.0046146843,5,9,attribute,random,event,minor,attributes,characteristic,property,part,variable,feature,category,trait
5,random,random,5,random,random,dove,centurion,True,['dove'],"['cent', '##uri', '##on']",1,3,1.6482587e-05,1.5296488e-05,0.00013508394,0.00027419286,0.00011068825,0.99944836,0.0077376976,8,1,random,minor,event,part,attribute,coordinated,randomly,child,member,pick,student,participant
1,coord,coordinated,1,coord,coordinated,bomb,Kalashnikov,True,['bomb'],"['kala', '##sh', '##nikov']",1,3,3.3169723e-08,0.99999607,2.07735e-06,1.6274735e-06,1.10624704e-07,3.453279e-08,8.033418e-05,5,1,coordinated,coordination,event,coordinate,minor,similar,twin,successor,identical,partner,joint,coordinating
5,random,random,5,random,random,blouse,question,True,['blouse'],['question'],1,1,3.5384508e-07,3.2650274e-08,2.3295097e-06,2.0481951e-07,1.8472535e-07,0.9999969,6.513813e-05,1,11,random,event,attribute,minor,answer,part,randomly,pick,subject,result,blank,response
5,random,random,5,random,random,wrench,go,True,"['wren', '##ch']",['go'],2,1,1.5860081e-05,3.2731878e-06,0.005782889,2.9788164e-06,1.9760932e-06,0.994193,0.05174794,7,35,random,event,attribute,coordinated,minor,probability,game,part,randomly,computer,chance,field
5,random,random,5,random,random,beetle,being,True,['beetle'],['being'],1,1,7.481537e-06,3.8804597e-08,6.783638e-05,0.00020207695,1.1746236e-05,0.99971074,0.0041573173,6,15,random,minor,event,part,attribute,probability,chance,randomly,point,constant,observer,other
4,mero,part,4,mero,part,battleship,fin,True,['battleship'],['fin'],1,1,3.020951e-07,6.054802e-07,1.2680775e-05,5.720971e-07,0.9998795,0.00010634569,0.0018147067,1,9,part,random,event,portion,section,parts,end,point,volume,coordinated,length,minor
4,mero,part,4,mero,part,lion,fur,True,['lion'],['fur'],1,1,7.2098633e-06,2.9582463e-07,0.00040809612,7.714589e-06,0.99939525,0.00018140166,0.007981944,4,3,part,event,random,minor,attribute,portion,parts,section,volume,amount,component,kind
0,attri,attribute,0,attri,attribute,bottle,clean,True,['bottle'],['clean'],1,1,0.5458643,6.844054e-05,0.45250633,0.00070527196,0.00019045694,0.00066515355,1.0121173,5,31,attribute,event,minor,random,part,state,property,object,coordinated,key,act,element
0,attri,attribute,2,event,event,screwdriver,clean,False,"['screw', '##drive', '##r']",['clean'],3,1,0.6016403,5.829873e-05,0.39633253,0.00025832016,0.0001375391,0.0015729801,0.99051946,2,31,attribute,event,random,minor,part,state,property,coordinated,key,feature,effect,function
1,coord,coordinated,1,coord,coordinated,pub,inn,True,['pub'],['inn'],1,1,1.9623358e-05,0.9953786,0.0011498764,0.00054346316,0.0029010735,7.3954693e-06,0.04866034,1,1,coordinated,part,event,minor,coordination,coordinate,twin,separate,similar,independent,equivalent,identical
5,random,random,5,random,random,motorcycle,hospital,True,['motorcycle'],['hospital'],1,1,8.069687e-06,0.0002191115,0.00018390958,5.100496e-07,3.8734147e-06,0.9995845,0.005761676,2,2,random,coordinated,event,attribute,randomly,part,bus,number,pick,local,frequent,van
1,coord,coordinated,1,coord,coordinated,beetle,bee,True,['beetle'],['bee'],1,1,2.168128e-06,0.99982697,0.000121136414,4.905882e-05,7.602687e-08,5.96803e-07,0.002582941,6,2,coordinated,event,minor,coordination,similar,attribute,coordinate,unrelated,relative,related,random,partner
1,coord,coordinated,1,coord,coordinated,train,truck,True,['train'],['truck'],1,1,1.2039497e-07,0.9999536,2.4623121e-05,1.1339665e-05,1.0233577e-05,6.7502356e-08,0.00080417196,17,3,coordinated,event,coordination,minor,part,coordinate,similar,separate,identical,twin,tail,synchronized
5,random,random,5,random,random,stereo,datum,True,['stereo'],"['dat', '##um']",1,2,2.8296815e-06,1.9038671e-07,0.0001510592,1.502422e-05,0.00012791295,0.9997029,0.004297048,3,1,random,event,part,minor,attribute,independent,parameter,content,coordinated,constant,set,average
4,mero,part,4,mero,part,grenade,timer,True,['grenade'],['timer'],1,1,0.00010562082,0.00033120826,0.024246208,0.00031161855,0.9709409,0.0040643793,0.2125517,1,3,part,event,random,coordinated,minor,attribute,independent,unit,component,function,one,section
5,random,random,5,random,random,tiger,uphold,True,['tiger'],['uphold'],1,1,9.586809e-06,5.285087e-08,0.00023313372,1.7482178e-07,4.47758e-07,0.99975675,0.0033386424,2,3,random,event,attribute,part,randomly,minor,entropy,pick,result,probability,outcome,hash
4,mero,part,4,mero,part,pistol,handle,True,['pistol'],['handle'],1,1,2.235969e-06,3.6208297e-07,0.00028320937,4.9926316e-06,0.9996613,4.774521e-05,0.004649205,1,7,part,event,random,section,portion,minor,parts,volume,point,attribute,end,side
5,random,random,5,random,random,knife,escarpment,True,['knife'],"['es', '##car', '##pment']",1,3,1.1006764e-06,2.5816806e-07,1.6843882e-05,7.899468e-07,3.427668e-07,0.9999807,0.00034568625,4,2,random,event,attribute,minor,part,coordinated,randomly,map,graph,probability,number,pick
2,event,event,2,event,event,oven,wipe,True,['oven'],['wipe'],1,1,0.00020420116,0.00010886595,0.9992599,1.47254395e-05,0.00028608378,0.00012619967,0.0102420235,1,2,event,part,attribute,random,coordinated,minor,process,and,act,state,action,","
2,event,event,2,event,event,bookcase,fix,True,"['book', '##case']",['fix'],2,1,0.0001822284,1.0148231e-05,0.99946207,4.1460633e-05,1.529865e-05,0.00028888416,0.0074527874,1,17,event,random,attribute,minor,part,coordinated,process,state,step,case,mode,act
1,coord,coordinated,1,coord,coordinated,washer,dishwasher,True,"['wash', '##er']","['dish', '##wash', '##er']",2,3,1.6553223e-06,0.9997168,0.00010531637,2.5268602e-05,0.00015058492,2.8665644e-07,0.0041358713,3,2,coordinated,part,event,coordination,minor,coordinate,independent,separate,twin,similar,equivalent,joint
5,random,random,5,random,random,ferry,harvest,True,['ferry'],['harvest'],1,1,6.0188042e-05,0.0010688006,0.20729282,7.95445e-05,5.9463124e-05,0.79143924,0.7509895,5,6,random,event,coordinated,bus,minor,attribute,part,messenger,computer,ferry,ship,wheel
