pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target
0,attri,0,attri,scooter,dusty,True,"['Ġsc', 'ooter']",['Ġdusty'],2,1,0.9995353,7.394188e-05,0.00016913266,0.00011174637,5.1441162e-05,5.8392907e-05,0.0068251584,5,2
3,hyper,3,hyper,scarf,garment,True,['Ġscarf'],['Ġgarment'],1,1,0.0001136962,0.0001307171,0.0002553195,0.9993376,8.873732e-05,7.383171e-05,0.009386469,5,2
2,event,2,event,axe,sharpen,True,['Ġaxe'],"['Ġshar', 'pen']",1,2,7.616088e-05,0.000108534114,0.99948186,0.000121291894,0.00011794745,9.4197465e-05,0.007595471,3,8
2,event,2,event,piano,produce,True,['Ġpiano'],['Ġproduce'],1,1,8.3977175e-05,4.9422844e-05,0.9993311,0.000115226285,0.000101353886,0.00031895412,0.009365438,4,8
4,mero,4,mero,glove,fabric,True,['Ġglove'],['Ġfabric'],1,1,6.976111e-05,8.013589e-05,0.00017591915,9.0975234e-05,0.9991905,0.00039265864,0.011079189,3,2
5,random,5,random,broccoli,Mainland,True,['Ġbroccoli'],"['ĠMain', 'land']",1,2,3.685445e-05,3.0699975e-05,3.5657526e-05,2.7410346e-05,5.2421812e-05,0.99981695,0.0029547433,2,1
1,coord,1,coord,trumpet,bass,True,['Ġtrumpet'],['Ġbass'],1,1,4.1320534e-05,0.9996611,9.415625e-05,0.00011677561,6.006744e-05,2.6601308e-05,0.0051220795,4,9
5,random,5,random,sweater,Spanish,True,['Ġsweater'],['ĠSpanish'],1,1,3.585569e-05,2.88469e-05,2.1877338e-05,2.2892973e-05,7.985572e-05,0.99981064,0.0030161964,2,3
1,coord,1,coord,willow,cedar,True,"['Ġwill', 'ow']","['Ġc', 'edar']",2,2,5.3274955e-05,0.999688,6.8781694e-05,0.000115952775,4.766e-05,2.639035e-05,0.0047591897,2,3
5,random,5,random,pub,battle,True,['Ġpub'],['Ġbattle'],1,1,2.2140286e-05,3.830273e-05,3.8447513e-05,2.2435048e-05,7.198885e-05,0.9998067,0.003084268,1,4
2,event,2,event,dress,sew,True,['Ġdress'],['Ġsew'],1,1,6.118823e-05,0.00017041332,0.9993722,0.00013301073,0.00017468847,8.862224e-05,0.008981719,21,2
1,coord,1,coord,coyote,horse,True,"['Ġcoy', 'ote']",['Ġhorse'],2,1,3.8067632e-05,0.99967706,0.00010109208,9.634827e-05,5.1886353e-05,3.577801e-05,0.0049191867,3,6
4,mero,4,mero,trout,fishbone,True,['Ġtrout'],"['Ġfish', 'bone']",1,2,8.482687e-05,7.146756e-05,0.00013059405,6.578133e-05,0.9988236,0.0008237411,0.014866277,2,1
5,random,5,random,cathedral,encapsulate,True,['Ġcathedral'],"['Ġencaps', 'ulate']",1,2,2.6227463e-05,2.6390977e-05,3.83896e-05,2.4388211e-05,6.2261264e-05,0.9998223,0.0028635745,3,2
5,random,5,random,lemon,gramme,True,['Ġlemon'],"['Ġgram', 'me']",1,2,2.4122324e-05,2.9266952e-05,2.9084536e-05,2.478615e-05,8.4411535e-05,0.9998084,0.0030470162,5,1
0,attri,0,attri,apple,juicy,True,['Ġapple'],['Ġjuicy'],1,1,0.99956983,7.4875235e-05,8.6076885e-05,0.00014541807,5.091144e-05,7.2993374e-05,0.006392062,2,4
1,coord,1,coord,musket,spear,True,"['Ġmus', 'ket']",['Ġspear'],2,1,3.9237486e-05,0.9993125,0.00017824407,0.0003777058,6.259599e-05,2.9729508e-05,0.009401457,1,4
1,coord,1,coord,cannon,Kalashnikov,True,['Ġcannon'],"['ĠKal', 'ash', 'nikov']",1,3,6.8489135e-05,0.9992015,0.00012982845,0.00052935537,3.7674577e-05,3.3256514e-05,0.010584875,8,1
2,event,2,event,bowl,eat,True,['Ġbowl'],['Ġeat'],1,1,7.6895805e-05,8.768613e-05,0.9994999,9.815063e-05,0.0001278987,0.00010952418,0.0073560122,12,6
5,random,2,event,oven,break,False,['Ġoven'],['Ġbreak'],1,1,0.00014270072,9.542285e-05,0.01904742,8.8521614e-05,0.0001789124,0.98044705,0.14328963,1,75
3,hyper,3,hyper,beet,food,True,['Ġbeet'],['Ġfood'],1,1,0.00017541,0.0001027896,0.00024369948,0.9993304,7.773734e-05,6.989789e-05,0.009467086,2,3
0,attri,0,attri,wardrobe,rectangular,True,['Ġwardrobe'],['Ġrectangular'],1,1,0.9994885,8.1493825e-05,5.9774167e-05,0.00011184231,5.3716492e-05,0.00020462045,0.0074207573,3,2
0,attri,0,attri,trumpet,loud,True,['Ġtrumpet'],['Ġloud'],1,1,0.99957186,6.784954e-05,9.739819e-05,0.000100452955,4.577739e-05,0.00011675183,0.006374273,4,4
1,coord,1,coord,shovel,hatchet,True,['Ġshovel'],"['Ġhat', 'chet']",1,2,3.7889913e-05,0.9995572,0.0001945057,0.00012774792,4.5678207e-05,3.7089718e-05,0.0064500747,5,2
4,mero,4,mero,blouse,fabric,True,"['Ġbl', 'ouse']",['Ġfabric'],2,1,5.916239e-05,7.699771e-05,0.00020843082,9.722309e-05,0.99918133,0.0003768343,0.011194192,1,2
1,coord,1,coord,revolver,spear,True,['Ġrevolver'],['Ġspear'],1,1,3.5683708e-05,0.99950016,0.00014885521,0.00021054763,4.8837333e-05,5.6018285e-05,0.0072028204,2,4
5,random,5,random,washer,dispatch,True,"['Ġwas', 'her']",['Ġdispatch'],2,1,2.8195554e-05,2.8759148e-05,2.0823096e-05,2.7442198e-05,0.00010285492,0.9997919,0.003262364,3,9
5,random,5,random,cucumber,novitiate,True,"['Ġcuc', 'umber']","['Ġno', 'v', 'iti', 'ate']",2,4,2.9656892e-05,2.931585e-05,2.7572463e-05,2.7384598e-05,6.0111623e-05,0.999826,0.0028140584,2,2
2,event,2,event,bag,recycle,True,['Ġbag'],['Ġrecycle'],1,1,0.0002767313,0.000115068266,0.99932444,0.000113056245,5.8878322e-05,0.000111860325,0.009528616,14,2
5,random,5,random,lion,airman,True,['Ġlion'],"['Ġair', 'man']",1,2,2.5531775e-05,4.0410527e-05,3.230996e-05,2.3811172e-05,6.726291e-05,0.99981076,0.003032437,4,1
5,random,5,random,vulture,resort,True,"['Ġv', 'ulture']",['Ġresort'],2,1,2.731017e-05,3.0746673e-05,2.1725238e-05,2.3893614e-05,8.2489e-05,0.99981385,0.0029657905,2,6
0,attri,0,attri,shovel,old,True,['Ġshovel'],['Ġold'],1,1,0.99957293,6.578047e-05,8.223328e-05,0.0001339772,5.935187e-05,8.577649e-05,0.006361682,5,9
5,random,5,random,dove,centurion,True,['Ġdove'],"['Ġcent', 'urion']",1,2,2.9665607e-05,3.183827e-05,3.0222393e-05,2.5383077e-05,5.7700945e-05,0.9998252,0.0028277559,8,1
1,coord,1,coord,bomb,Kalashnikov,True,['Ġbomb'],"['ĠKal', 'ash', 'nikov']",1,3,5.1381052e-05,0.9995048,0.000104813145,0.00026866267,4.0381598e-05,2.9906718e-05,0.007057518,5,1
5,random,5,random,blouse,question,True,"['Ġbl', 'ouse']",['Ġquestion'],2,1,2.3864246e-05,3.549508e-05,2.5759515e-05,2.1912309e-05,0.00010835091,0.99978465,0.003360819,1,11
5,random,5,random,wrench,go,True,['Ġwrench'],['Ġgo'],1,1,2.504635e-05,2.6490648e-05,3.2079774e-05,2.0852342e-05,8.683854e-05,0.9998087,0.0030362157,7,35
5,random,5,random,beetle,being,True,['Ġbeetle'],['Ġbeing'],1,1,3.5337565e-05,2.8573952e-05,1.6930571e-05,2.9893514e-05,9.5648385e-05,0.9997936,0.0032463975,6,15
4,mero,4,mero,battleship,fin,True,"['Ġbattles', 'hip']",['Ġfin'],2,1,0.0001057834,7.769259e-05,0.00013193753,6.61496e-05,0.9987274,0.0008909712,0.01593886,1,9
4,mero,4,mero,lion,fur,True,['Ġlion'],['Ġfur'],1,1,9.7625205e-05,0.000108012006,0.0001006677,9.542586e-05,0.999188,0.00041027067,0.011121932,4,3
0,attri,0,attri,bottle,clean,True,['Ġbottle'],['Ġclean'],1,1,0.68624467,0.0011104511,0.30846387,0.0022552966,0.0011044301,0.0008212732,0.9461757,5,31
2,event,2,event,screwdriver,clean,True,"['Ġscrew', 'driver']",['Ġclean'],2,1,0.18379863,0.00081249257,0.81292474,0.0013745094,0.00052170147,0.00056785205,0.72529376,2,31
1,coord,1,coord,pub,inn,True,['Ġpub'],['Ġinn'],1,1,5.9247108e-05,0.99938476,0.00023200363,0.00011944858,0.00017990587,2.4703922e-05,0.008693218,1,1
5,random,5,random,motorcycle,hospital,True,['Ġmotorcycle'],['Ġhospital'],1,1,2.2519156e-05,4.5856264e-05,6.31053e-05,1.8421839e-05,9.1306676e-05,0.9997588,0.0037519482,2,2
1,coord,1,coord,beetle,bee,True,['Ġbeetle'],['Ġbee'],1,1,5.6472833e-05,0.99968517,7.860376e-05,9.974291e-05,4.8606453e-05,3.138385e-05,0.004814437,6,2
1,coord,1,coord,train,truck,True,['Ġtrain'],['Ġtruck'],1,1,5.2108964e-05,0.9996991,6.586104e-05,8.915834e-05,4.6400404e-05,4.7477886e-05,0.004639751,17,3
5,random,5,random,stereo,datum,True,['Ġstereo'],"['Ġdat', 'um']",1,2,3.4033816e-05,2.6924708e-05,2.0898951e-05,3.2423675e-05,8.167855e-05,0.9998041,0.0031141043,3,1
5,random,4,mero,grenade,timer,False,['Ġgrenade'],['Ġtimer'],1,1,0.000313318,0.00019743097,0.0005247067,0.00030579657,0.28804263,0.71061605,0.88281935,1,3
5,random,5,random,tiger,uphold,True,['Ġtiger'],['Ġuphold'],1,1,2.6671934e-05,2.881584e-05,2.3182129e-05,2.3932886e-05,9.591065e-05,0.99980146,0.0031308155,2,3
4,mero,4,mero,pistol,handle,True,['Ġpistol'],['Ġhandle'],1,1,6.1971965e-05,0.00010091212,0.00020588937,6.976698e-05,0.9990878,0.00047364944,0.0122367265,1,7
5,random,5,random,knife,escarpment,True,['Ġknife'],"['Ġesc', 'arp', 'ment']",1,3,2.6824107e-05,3.0930296e-05,3.478857e-05,2.5372563e-05,6.3046726e-05,0.9998191,0.002914147,4,2
2,event,2,event,oven,wipe,True,['Ġoven'],['Ġwipe'],1,1,9.32238e-05,6.951286e-05,0.9994686,7.005137e-05,0.00015823566,0.00014039775,0.007736172,1,2
2,event,2,event,bookcase,fix,True,"['Ġbook', 'case']",['Ġfix'],2,1,6.535529e-05,7.8087454e-05,0.9994504,0.00010968537,8.3780564e-05,0.00021264178,0.007938261,1,17
1,coord,1,coord,washer,dishwasher,True,"['Ġwas', 'her']","['Ġdish', 'washer']",2,2,4.83636e-05,0.99959165,0.00014275947,0.00010455678,8.764635e-05,2.5027137e-05,0.0060523357,3,2
5,random,5,random,ferry,harvest,True,['Ġferry'],['Ġharvest'],1,1,2.4422836e-05,3.0101886e-05,6.1956795e-05,2.0697425e-05,6.849854e-05,0.9997943,0.0032587324,5,6
5,random,5,random,robe,at,True,['Ġrobe'],['Ġat'],1,1,2.5619629e-05,2.9344743e-05,2.3860042e-05,2.3248185e-05,0.000110221285,0.99978775,0.003312107,4,2
5,random,5,random,ambulance,concentration,True,['Ġambulance'],['Ġconcentration'],1,1,2.6389913e-05,3.2518397e-05,2.3447803e-05,2.3221173e-05,8.858827e-05,0.99980587,0.0030769496,1,7
5,random,5,random,chair,bourgeois,True,['Ġchair'],['Ġbourgeois'],1,1,0.00035470875,3.2633343e-05,2.517617e-05,3.9010058e-05,5.625543e-05,0.99949217,0.007034222,7,5
5,random,5,random,garlic,official,True,['Ġgarlic'],['Ġofficial'],1,1,3.6035508e-05,2.4983357e-05,2.1316275e-05,2.6225316e-05,8.1274055e-05,0.99981016,0.0030218628,2,7
5,random,5,random,violin,serve,True,['Ġviolin'],['Ġserve'],1,1,1.951988e-05,3.3048058e-05,5.3016178e-05,2.1857706e-05,9.283295e-05,0.99977976,0.0034498957,1,16
5,random,5,random,flute,translation,True,"['Ġfl', 'ute']",['Ġtranslation'],2,1,2.3124265e-05,3.174605e-05,2.3440442e-05,2.590521e-05,0.00012546375,0.99977034,0.0035430854,4,7
2,event,2,event,tanker,stop,True,['Ġtanker'],['Ġstop'],1,1,8.799376e-05,5.1555457e-05,0.99941444,6.462601e-05,0.00011212225,0.00026933796,0.008328998,2,22
2,event,0,attri,spoon,clean,False,['Ġspoon'],['Ġclean'],1,1,0.0008734114,0.000115323906,0.99871755,0.00013216832,7.094277e-05,9.061655e-05,0.016130172,5,31
0,attri,0,attri,acacia,young,True,"['Ġac', 'acia']",['Ġyoung'],2,1,0.9955943,7.8038436e-05,0.00011205622,0.0001753318,7.690546e-05,0.0039632795,0.043739505,1,14
5,random,5,random,cottage,welcome,True,['Ġcottage'],['Ġwelcome'],1,1,0.000121623365,5.7135545e-05,0.007328602,0.00010308496,0.00012404985,0.9922655,0.06845358,1,6
4,mero,4,mero,chisel,handle,True,"['Ġch', 'isel']",['Ġhandle'],2,1,6.495013e-05,8.791557e-05,0.00016727367,6.496741e-05,0.998955,0.0006598603,0.013568832,4,7
4,mero,4,mero,box,paper,True,['Ġbox'],['Ġpaper'],1,1,8.506923e-05,7.374129e-05,0.0002049532,5.7277397e-05,0.9990404,0.0005385159,0.012712092,13,9
5,random,5,random,cod,easy,True,['Ġcod'],['Ġeasy'],1,1,4.4207423e-05,2.91324e-05,3.0139312e-05,2.5976731e-05,4.8673915e-05,0.99982184,0.0028810664,7,15
3,hyper,3,hyper,turtle,pet,True,['Ġturtle'],['Ġpet'],1,1,0.0002612101,0.00012253744,0.00013643237,0.99932456,6.796653e-05,8.720553e-05,0.009544015,4,7
1,coord,4,mero,pub,bar,False,['Ġpub'],['Ġbar'],1,1,0.00021829002,0.9788881,0.002487398,0.000532906,0.017807191,6.607689e-05,0.16450469,1,19
2,event,2,event,missile,launch,True,['Ġmissile'],['Ġlaunch'],1,1,5.3929492e-05,0.00011811795,0.9994481,0.00015044081,0.00010749142,0.00012192204,0.008014447,2,8
1,coord,1,coord,ambulance,battleship,True,['Ġambulance'],"['Ġbattles', 'hip']",1,2,6.0485534e-05,0.9996451,0.00011133728,0.00010015745,5.268613e-05,3.0327868e-05,0.005356441,1,1
5,random,5,random,shirt,economical,True,['Ġshirt'],['Ġeconomical'],1,1,4.738502e-05,3.0725325e-05,2.0175252e-05,2.3194416e-05,7.453878e-05,0.99980396,0.0031178945,2,3
5,random,5,random,lizard,premises,True,['Ġlizard'],['Ġpremises'],1,1,2.9531806e-05,2.7343052e-05,2.125014e-05,2.6189093e-05,9.731125e-05,0.99979836,0.0031750684,2,5
0,attri,0,attri,herring,little,True,"['Ġher', 'ring']",['Ġlittle'],2,1,0.9995415,5.868933e-05,9.6603384e-05,7.916764e-05,4.7173766e-05,0.00017684369,0.006735718,2,10
3,hyper,3,hyper,vest,covering,True,['Ġvest'],['Ġcovering'],1,1,0.00014028544,0.00014762509,0.00038329765,0.99913305,8.387498e-05,0.00011195832,0.0118799275,7,31
0,attri,0,attri,sweater,tight,True,['Ġsweater'],['Ġtight'],1,1,0.9995752,6.0946073e-05,0.000115731455,0.00011375752,4.417431e-05,9.025655e-05,0.006321806,2,16
0,attri,0,attri,salmon,good,True,['Ġsalmon'],['Ġgood'],1,1,0.99943775,5.4710374e-05,8.606058e-05,0.00023626148,3.696065e-05,0.00014830154,0.008024654,5,27
4,mero,4,mero,bull,stomach,True,['Ġbull'],['Ġstomach'],1,1,0.00010049004,6.9951864e-05,0.00012886821,7.591798e-05,0.9981173,0.001507442,0.021848148,15,6
1,coord,1,coord,sheep,bull,True,['Ġsheep'],['Ġbull'],1,1,4.802154e-05,0.99970824,7.373979e-05,8.291033e-05,4.771927e-05,3.9368944e-05,0.0045072096,3,15
5,random,5,random,swan,bandwagon,True,"['Ġsw', 'an']",['Ġbandwagon'],2,1,2.8618206e-05,2.8171244e-05,2.087104e-05,2.5313157e-05,8.839609e-05,0.9998086,0.0030351807,4,2
1,coord,1,coord,scooter,frigate,True,"['Ġsc', 'ooter']","['Ġfr', 'igate']",2,2,3.8080703e-05,0.9995894,0.00015917416,0.000121697514,6.36042e-05,2.79634e-05,0.006051723,5,2
5,random,5,random,bomber,growth,True,['Ġbomber'],['Ġgrowth'],1,1,2.5469604e-05,3.1174448e-05,2.5331987e-05,2.6772066e-05,7.809144e-05,0.99981314,0.002983846,3,7
4,mero,4,mero,dishwasher,inside,True,"['Ġdish', 'washer']",['Ġinside'],2,1,0.00011312741,6.877805e-05,0.00013838036,9.6834265e-05,0.9976065,0.0019764488,0.026702516,2,10
5,random,5,random,ambulance,sign,True,['Ġambulance'],['Ġsign'],1,1,2.2121127e-05,3.0364672e-05,0.00031086692,4.3718832e-05,0.00060275255,0.9989901,0.012956184,1,20
5,random,5,random,hawk,christmas,True,['Ġhawk'],"['Ġchrist', 'mas']",1,2,3.0584153e-05,3.44152e-05,3.3454795e-05,2.4778812e-05,5.7513593e-05,0.99981934,0.0029163514,6,2
0,attri,0,attri,rake,long,True,['Ġrake'],['Ġlong'],1,1,0.99958247,5.5623463e-05,0.00011463668,9.933825e-05,5.4809014e-05,9.301737e-05,0.00623147,9,12
2,event,2,event,hotel,find,True,['Ġhotel'],['Ġfind'],1,1,0.00013260744,5.0982166e-05,0.99857473,8.897105e-05,6.209889e-05,0.0010906229,0.01728728,1,18
5,random,5,random,carp,polling,True,['Ġcarp'],['Ġpolling'],1,1,2.9628669e-05,2.980176e-05,1.9568473e-05,2.6225349e-05,9.677065e-05,0.999798,0.0031807667,3,4
1,coord,1,coord,coat,hat,True,['Ġcoat'],['Ġhat'],1,1,4.1220934e-05,0.99940693,0.00034936293,7.7763994e-05,8.821013e-05,3.657075e-05,0.008256307,6,4
2,event,2,event,grenade,hold,True,['Ġgrenade'],['Ġhold'],1,1,0.00015917247,5.7782145e-05,0.99918145,7.475797e-05,6.009327e-05,0.0004666277,0.011032913,1,45
5,random,5,random,rake,occupy,True,['Ġrake'],['Ġoccupy'],1,1,2.3200504e-05,2.688353e-05,3.0361287e-05,2.2147642e-05,9.709851e-05,0.9998004,0.0031459248,9,8
